"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"1320095","","NEW","2013-03-09T01:58:34","U","PC","","N","Y","OFF","2013-02-27","2013-05-27","ACT/360","CHF","IR","","InterestRate:FRA","Amendment","CHF-LIBOR-BBA","","Percent","-0.1005","","0","CHF","","48,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1320129","","NEW","2012-08-02T05:00:00","U","FC","","N","Y","OFF","2012-08-06","2013-02-06","ACT/360","USD","IR","","InterestRate:IRSwap:OIS","Termination","FEDFUNDS","FIXED","Percent","13.75","","0","USD","USD","250,000,000+","250,000,000+","1T","1T","1D","","","0","","","","0","","","Percent","0","","0"
"1286882","","NEW","2013-03-07T10:01:46","U","","","Y","Y","OFF","2013-03-13","2023-03-15","","","IR","","InterestRate:CrossCurrency:FixedFixed","Trade","FIXED","FIXED","Percent","0","","0","EUR","USD","57,670,127+","75,000,000+","1Y","1Y","","","","0","","","","0","","","Percent","0","","0"
"1286883","","NEW","2013-03-07T10:05:45","U","","","Y","Y","OFF","2013-03-13","2032-12-17","","","IR","","InterestRate:CrossCurrency:FixedFixed","Trade","FIXED","FIXED","Percent","0","","0","EUR","USD","57,670,127+","75,000,000+","1Y","1Y","","","","0","","","","0","","","Percent","0","","0"
"1311380","1306779","CANCEL","2013-03-08T19:43:37","U","UC","N","Y","Y","OFF","2013-03-12","2014-03-12","ACT/360","COP","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","COP-IBR-BTMM CO","Percent","3.48","","0","COP","COP","54,000,000,000","54,000,000,000","1T","1T","","1D","","0","","","","0","","","Percent","0","","0"
"1311381","1306779","CORRECT","2013-03-08T22:21:41","U","UC","N","Y","Y","OFF","2013-03-12","2014-03-12","ACT/360","COP","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","COP-IBR-BTMM CO","Percent","3.48","USD","2,227","COP","COP","54,000,000,000","54,000,000,000","1T","1T","","1D","","0","","","","0","","","Percent","0","","0"
"1311382","","NEW","2013-03-08T17:35:14","U","UC","","N","Y","OFF","2014-01-31","2016-01-29","ACT/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","USD-LIBOR-BBA","FIXED","Percent","0.695","","0","USD","USD","35,000,000","35,000,000","3M","3M","1M","","","0","","","","0","","","Percent","0","","0"
"1311384","","NEW","2013-03-08T22:34:02","C","","","N","Y","OFF","2013-03-12","2023-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1","","0","USD","USD","5","5","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311385","","NEW","2013-03-08T17:35:36","U","UC","","N","Y","OFF","2014-01-31","2016-01-29","ACT/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","USD-LIBOR-BBA","FIXED","Percent","0.695","","0","USD","USD","35,000,000","35,000,000","3M","3M","1M","","","0","","","","0","","","Percent","0","","0"
"1311386","","NEW","2013-03-08T22:37:12","U","FC","","N","Y","OFF","2013-03-11","2043-03-11","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","USD-LIBOR-BBA","FIXED","Percent","3.0497","USD","1,337.6","USD","USD","380,000","380,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311387","","NEW","2013-03-08T22:38:03","U","","N","Y","Y","OFF","2012-07-30","2037-08-03","","","IR","","InterestRate:Exotic","Amendment","","","Fixed Rate","0.0225","","0","USD","","11,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311388","","NEW","2013-03-08T22:38:04","U","FC","","N","Y","OFF","2013-03-11","2023-03-11","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","USD-LIBOR-BBA","FIXED","Percent","2.071","","0","USD","USD","840,000","840,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
